state,district,town,town_raw,pop_2011,households_2011,cagr,pop_2026,state_std,district_std
JAMMU & KASHMIR,Kupwara,Dara Pora,Dara Pora (CT),8464,736,0.0267,12567,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Sool Koot,Sool Koot (CT),3973,492,0.0267,5899,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Heri,Heri (CT),6348,561,0.0267,9425,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Trehgam,Trehgam (CT),15587,1258,0.0267,23143,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Kral Pora,Kral Pora (CT),6518,569,0.0267,9678,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Drug Mulla,Drug Mulla (CT),12930,1458,0.0267,19198,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Kupwara,Kupwara (MC),21771,1934,0.0267,32324,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Handwara,Handwara (MC),13600,2011,0.0267,20193,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Tangdhar,Tangdhar (CT),9904,1901,0.0267,14705,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Nowangabra,Nowangabra (CT),5634,1079,0.0267,8365,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Badgam,Magam,Magam (MC),5470,807,0.0267,8122,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Beerwah,Beerwah (MC),8192,946,0.0267,12163,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Khansahib,Khansahib (MC),2630,352,0.0267,3905,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Ichgam,Ichgam (CT),7461,999,0.0267,11078,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Badgam,Badgam (MC),15338,2258,0.0267,22773,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Nagam,Nagam (CT),7365,1049,0.0267,10935,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Kral Pora,Kral Pora (CT),13889,1442,0.0267,20622,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Srinagar (M Corp. + OG),Srinagar (M Corp. + OG) (Part),19552,3203,0.0267,29030,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Chadura,Chadura (MC),6482,792,0.0267,9624,Jammu and Kashmir,Badgam
